# [reference standard]
# imdb2009
# actors of X-Men
([(41419995, 1949082, 44311720)], [(44311720, 1949082), (41419995, 1949082)]) #Smith, Ashley Joelle in X-Men Origins: Wolverine
([(41230469, 21100703, 44237809)], [(44237809, 21100703), (41230469, 21100703)]) #Dobuler, Hopi in X-Men: The Last Stand
([(41231571, 21102945, 44237809)], [(44237809, 21102945), (41231571, 21102945)]) #Dolhai, Anthony in X-Men: The Last Stand
([(39206124, 21193257, 44237809)], [(44237809, 21193257), (39206124, 21193257)]) #Filippone, Jim in X-Men: The Last Stand
([(40688752, 981289, 44237809)], [(44237809, 981289), (40688752, 981289)]) #Grayson, Tracy in X-Men: The Last Stand
([(41264594, 982973, 44237809)], [(44237809, 982973), (41264594, 982973)]) #Green, Christopher J. in X-Men: The Last Stand
([(39357991, 1152940, 44237809)], [(44237809, 1152940), (39357991, 1152940)]) #Jacyszyn, Mark in X-Men: The Last Stand
([(41304395, 1233806, 44237809)], [(44237809, 1233806), (41304395, 1233806)]) #Kimura, Perry M. in X-Men: The Last Stand
([(41305735, 1243143, 44237809)], [(44237809, 1243143), (41305735, 1243143)]) #Klassen, Peter in X-Men: The Last Stand
([(40716623, 1262605, 44237809)], [(44237809, 1262605), (40716623, 1262605)]) #Kraman, Kyla in X-Men: The Last Stand
([(40317021, 1350679, 44237809)], [(44237809, 1350679), (40317021, 1350679)]) #Livingstone, Laura in X-Men: The Last Stand
([(41339520, 1452826, 44237809)], [(44237809, 1452826), (41339520, 1452826)]) #McCullough, Jarod in X-Men: The Last Stand
([(40751965, 1589807, 44237809)], [(44237809, 1589807), (40751965, 1589807)]) #Niquidet, Jena in X-Men: The Last Stand
([(41366885, 1614990, 44237809)], [(44237809, 1614990), (41366885, 1614990)]) #Oh, Jae-sung in X-Men: The Last Stand
([(41394458, 1790355, 44237809)], [(44237809, 1790355), (41394458, 1790355)]) #Rivest, Sonia in X-Men: The Last Stand
([(39832531, 2002615, 44237809)], [(44237809, 2002615), (39832531, 2002615)]) #Stone, Robert in X-Men: The Last Stand
([(40588002, 2175400, 44237809)], [(44237809, 2175400), (40588002, 2175400)]) #Weinstein, Elizabeth in X-Men: The Last Stand
([(41457655, 2180544, 44237809)], [(44237809, 2180544), (41457655, 2180544)]) #Wells, Daniella in X-Men: The Last Stand
([(38935031, 2650729, 44237809)], [(44237809, 2650729), (38935031, 2650729)]) #Appleby, Ed in X-Men: The Last Stand
([(39076181, 3737306, 44237809)], [(44237809, 3737306), (39076181, 3737306)]) #Christopher, Julian in X-Men: The Last Stand
([(39183905, 4563045, 44237809)], [(44237809, 4563045), (39183905, 4563045)]) #Ermey, R. Lee in X-Men: The Last Stand
([(39203799, 4695735, 44237809)], [(44237809, 4695735), (39203799, 4695735)]) #Ferris, Alex in X-Men: The Last Stand
([(39308193, 5472264, 44237809)], [(44237809, 5472264), (39308193, 5472264)]) #Hayley, Robert in X-Men: The Last Stand
([(39335913, 5683528, 44237809)], [(44237809, 5683528), (39335913, 5683528)]) #Hough, Adrian in X-Men: The Last Stand
([(39360212, 5855540, 44237809)], [(44237809, 5855540), (39360212, 5855540)]) #James, Ron in X-Men: The Last Stand
([(39375238, 5961138, 44237809)], [(44237809, 5961138), (39375238, 5961138)]) #Jones, Vinnie in X-Men: The Last Stand
([(39375238, 5961139, 44237809)], [(44237809, 5961139), (39375238, 5961139)]) #Jones, Vinnie in X-Men: The Last Stand
([(39397274, 6095839, 44237809)], [(44237809, 6095839), (39397274, 6095839)]) #Kelly, Brad in X-Men: The Last Stand
([(39668372, 8058062, 44237809)], [(44237809, 8058062), (39668372, 8058062)]) #Pohl, Luke in X-Men: The Last Stand
([(39810662, 9063265, 44237809)], [(44237809, 9063265), (39810662, 9063265)]) #Sommer, Josef in X-Men: The Last Stand
([(39928716, 9880754, 44237809)], [(44237809, 9880754), (39928716, 9880754)]) #Watmough, Clayton Dean in X-Men: The Last Stand
([(39941667, 9986205, 44237809)], [(44237809, 9986205), (39941667, 9986205)]) #Widdows, Connor in X-Men: The Last Stand
([(39962195, 10157968, 44237809)], [(44237809, 10157968), (39962195, 10157968)]) #Yee, Richard in X-Men: The Last Stand
([(39983283, 10287451, 44237809)], [(44237809, 10287451), (39983283, 10287451)]) #Aghdashloo, Shohreh in X-Men: The Last Stand
([(40029860, 10610257, 44237809)], [(44237809, 10610257), (40029860, 10610257)]) #Berry, Halle in X-Men: The Last Stand
([(40029860, 10610258, 44237809)], [(44237809, 10610258), (40029860, 10610258)]) #Berry, Halle in X-Men: The Last Stand
([(40192356, 11787878, 44237809)], [(44237809, 11787878), (40192356, 11787878)]) #Goodhand, Donna in X-Men: The Last Stand
([(40206893, 11888238, 44237809)], [(44237809, 11888238), (40206893, 11888238)]) #Ha, Benita in X-Men: The Last Stand
([(40469597, 13734918, 44237809)], [(44237809, 13734918), (40469597, 13734918)]) #Romijn, Rebecca in X-Men: The Last Stand
([(40469597, 13734919, 44237809)], [(44237809, 13734919), (40469597, 13734919)]) #Romijn, Rebecca in X-Men: The Last Stand
([(40574094, 14444255, 44237809)], [(44237809, 14444255), (40574094, 14444255)]) #Vega, Makenzie in X-Men: The Last Stand
([(40596366, 14632563, 44237809)], [(44237809, 14632563), (40596366, 14632563)]) #Williams, Olivia in X-Men: The Last Stand
([(38935570, 14802531, 44237809)], [(44237809, 14802531), (38935570, 14802531)]) #Arad, Avi in X-Men: The Last Stand
([(39081868, 15057182, 44237809)], [(44237809, 15057182), (39081868, 15057182)]) #Cleary, Lee in X-Men: The Last Stand
([(39539320, 19739928, 44252274)], [(44252274, 19739928), (39539320, 19739928)]) #McTeigue, James in X-Men Origins: Magneto
